x,y,z,qx,qy,qz,qw
-1.459996223449707031e+00,6.053927421569824219e+00,6.738451004028320312e+00,-2.556925412004310352e-02,4.481931366627250890e-02,-6.608492766147582298e-01,7.487433455685773565e-01
-1.468596339225769043e+00,6.059120178222656250e+00,6.742578983306884766e+00,-2.507537417258147786e-02,4.539041859241774862e-02,-6.599811207501082855e-01,7.494909650184561345e-01
-1.469636082649230957e+00,6.059948444366455078e+00,6.744932174682617188e+00,-2.473940886883605611e-02,4.453058504797732103e-02,-6.600615072085053159e-01,7.494829228240565966e-01
-1.467899680137634277e+00,6.069571018218994141e+00,6.743583202362060547e+00,-2.523194588274598263e-02,4.426719876955000077e-02,-6.602996377890335555e-01,7.492722293315370319e-01
-1.469665765762329102e+00,6.068700790405273438e+00,6.744531154632568359e+00,-2.546436421700692260e-02,4.460518263243141990e-02,-6.591724240899679010e-01,7.502361313317573721e-01
-1.468556165695190430e+00,6.073169708251953125e+00,6.741065502166748047e+00,-2.498035506236195857e-02,4.399655178108514281e-02,-6.592766600340442817e-01,7.501966447130613558e-01
-1.463260531425476074e+00,6.075650691986083984e+00,6.741765499114990234e+00,-2.482481823854538333e-02,4.323797005621635853e-02,-6.597643916888351612e-01,7.498170088013751400e-01
-1.465465903282165527e+00,6.081768989562988281e+00,6.739144802093505859e+00,-2.475952632998009231e-02,4.384241695868522359e-02,-6.597092564977827811e-01,7.498325121149349570e-01
-1.464497208595275879e+00,6.091865539550781250e+00,6.742741584777832031e+00,-2.449958218816111408e-02,4.361962311638552942e-02,-6.591065310553729795e-01,7.503838426123597971e-01
-1.463384866714477539e+00,6.101556301116943359e+00,6.745507717132568359e+00,-2.405668209540025304e-02,4.414875628973453925e-02,-6.593859462280626804e-01,7.501216854283809798e-01
-1.464784979820251465e+00,6.109253406524658203e+00,6.754182338714599609e+00,-2.301735689841332214e-02,4.360077950228427590e-02,-6.591881525814244913e-01,7.503601466179434798e-01
-1.470940113067626953e+00,6.112335681915283203e+00,6.752869129180908203e+00,-2.318808532852651566e-02,4.355474919528479899e-02,-6.580747040971751671e-01,7.513343320941006098e-01
-1.475012302398681641e+00,6.117398262023925781e+00,6.748245239257812500e+00,-2.345530123904798411e-02,4.380955486385313541e-02,-6.577379334583038917e-01,7.516060213823415603e-01
-1.483345866203308105e+00,6.129082202911376953e+00,6.749652862548828125e+00,-2.358984515087150097e-02,4.449471939382611263e-02,-6.569262792484383828e-01,7.522712133819824398e-01
-1.480626583099365234e+00,6.126046657562255859e+00,6.749325752258300781e+00,-2.418172709177318289e-02,4.471627151097155861e-02,-6.570367147463813673e-01,7.521428203348249353e-01
-1.489148378372192383e+00,6.124713420867919922e+00,6.749670028686523438e+00,-2.428028446874339746e-02,4.466561398139357042e-02,-6.561134633217171608e-01,7.529482189822043203e-01
-1.485448360443115234e+00,6.125545978546142578e+00,6.750655174255371094e+00,-2.411144412824414718e-02,4.434385804665879477e-02,-6.569652543133804867e-01,7.522295555209318474e-01
-1.483952164649963379e+00,6.122851848602294922e+00,6.751502990722656250e+00,-2.384884034273553749e-02,4.405855036783134365e-02,-6.568831255949427739e-01,7.523263500455480424e-01
-1.486310839653015137e+00,6.123515129089355469e+00,6.749384403228759766e+00,-2.385838761406691710e-02,4.393281748573552720e-02,-6.564243295778536824e-01,7.527336330439855505e-01
-1.488080739974975586e+00,6.122497081756591797e+00,6.749875545501708984e+00,-2.406895926169434763e-02,4.423566315621156597e-02,-6.565500814652539541e-01,7.525994904030758326e-01
-1.481916427612304688e+00,6.120222568511962891e+00,6.751596927642822266e+00,-2.431849038359025147e-02,4.475469377500721629e-02,-6.564654750015317397e-01,7.526346091061083543e-01
-1.486032247543334961e+00,6.120269775390625000e+00,6.745092868804931641e+00,-2.450894460477677853e-02,4.445870133386421036e-02,-6.563556802067530560e-01,7.527417568088323740e-01
-1.486495018005371094e+00,6.122726917266845703e+00,6.748380184173583984e+00,-2.408266370567714587e-02,4.488105651199268686e-02,-6.561956742576270374e-01,7.528699413299350107e-01
-1.481362462043762207e+00,6.126076221466064453e+00,6.748289585113525391e+00,-2.368336207701465454e-02,4.475761714960484194e-02,-6.565185104337997180e-01,7.526084224400206857e-01
-1.485833048820495605e+00,6.120714664459228516e+00,6.749071121215820312e+00,-2.401062648925612539e-02,4.421880799509866899e-02,-6.560765390981182499e-01,7.530152609915301554e-01
-1.489098906517028809e+00,6.115304470062255859e+00,6.751105308532714844e+00,-2.381613312581430664e-02,4.400652105630076943e-02,-6.564614025477326642e-01,7.526984323493054463e-01
